Year,Month,DayofMonth,UniqueCarrier,Cancelled,AllFlights
1987,12,2,UA,20,1652
1987,12,2,US,4,1038
1987,12,2,WN,10,773
1987,12,3,AA,8,1824
1987,12,3,AS,1,247
1987,12,3,CO,1,1359
1987,12,3,DL,6,2069
1987,12,3,EA,21,1216
1987,12,3,HP,3,521
1987,12,3,NW,17,1203
1987,12,3,"PA (1)",2,190
1987,12,3,PI,5,1292
1987,12,3,PS,7,509
1987,12,3,TW,5,777
1987,12,3,UA,10,1620
1987,12,3,US,2,1043
1987,12,3,WN,9,747
1987,12,4,AA,25,1838
1987,12,4,AS,5,245
1987,12,4,CO,29,1351
1987,12,4,DL,13,2049
1987,12,4,EA,28,1226
1987,12,4,HP,2,501
1987,12,4,NW,9,1231
1987,12,4,"PA (1)",0,194
1987,12,4,PI,6,1289
1987,12,4,PS,63,514
1987,12,4,TW,2,783
1987,12,4,UA,198,1699
1987,12,4,US,11,1045
1987,12,4,WN,21,720
1987,12,5,AA,12,1788
1987,12,5,AS,3,186
1987,12,5,CO,6,1202
1987,12,5,DL,7,1994
1987,12,5,EA,22,1155
1987,12,5,HP,4,509
1987,12,5,NW,7,1098
1987,12,5,"PA (1)",0,190
1987,12,5,PI,7,1188
1987,12,5,PS,11,336
1987,12,5,TW,2,715
1987,12,5,UA,29,1615
1987,12,5,US,1,910
1987,12,5,WN,0,501
1987,12,6,AA,22,1774
1987,12,6,AS,1,190
1987,12,6,CO,8,1229
1987,12,6,DL,16,2005
1987,12,6,EA,20,1165
1987,12,6,HP,4,511
1987,12,6,NW,10,1136
1987,12,6,"PA (1)",0,188
1987,12,6,PI,7,1217
1987,12,6,PS,24,440
1987,12,6,TW,8,755
1987,12,6,UA,23,1644
1987,12,6,US,13,1011
1987,12,6,WN,2,592
